	freq	ngram	freq_ref	ngram_ref	ref size	math size	e1	e2	g2
54	25	в_pr точка_s если_conj	16	электрон_s в_pr атом_s	2332884	1500982	16.05175089583204	24.94824910416796	7.938017076045503
53	25	γ_γ γ_γ γ_γ	16	в_pr общий_a вид_s	2332884	1500982	16.05175089583204	24.94824910416796	7.938017076045503
57	25	в_pr ортонормированный_a базис_s	16	свободный_a энергия_s образование_s	2332884	1500982	16.05175089583204	24.94824910416796	7.938017076045503
52	25	представить_v в виде_pr	16	книга_s россия_s внести_partcp	2332884	1500982	16.05175089583204	24.94824910416796	7.938017076045503
58	25	полярный_a система_s координата_s	16	электрохимический_a ряд_s напряжение_s	2332884	1500982	16.05175089583204	24.94824910416796	7.938017076045503
56	25	базис_s в_pr который_a	16	в качестве_pr пример_s	2332884	1500982	16.05175089583204	24.94824910416796	7.938017076045503
55	25	матрица_s переход_s от_pr	16	общий_a электронный_a пара_s	2332884	1500982	16.05175089583204	24.94824910416796	7.938017076045503
127	18	при_pr аффинный_a преобразование_s	10	учебный_a пособие_s для_pr	2332884	1500982	10.962171343495053	17.03782865650495	7.196149825255839
128	18	матрица_s квадратичный_a функционал_s	10	во_pr внешний_a среда_s	2332884	1500982	10.962171343495053	17.03782865650495	7.196149825255839
109	19	с_pr один_a сторона_s	11	при_pr половой_a размножение_s	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
107	19	поставить_partcp в_pr соответствие_s	11	в_pr состав_s мембрана_s	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
108	19	отсюда_adv следовать_v что_conj	11	растворимый_a в_pr вода_s	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
115	19	стремиться_v к_pr нуль_s	11	с_pr точка_s зрение_s	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
110	19	от_pr базис_s к_pr	11	широко_adv использоваться_v в_pr	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
116	19	в_pr некоторый_a окрестность_s	11	приводить_v к_pr что_conj	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
112	19	собственный_a вектор_s оператор_s	11	в_pr один_a тот_a	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
113	19	в_pr чем_conj сущность_s	11	на_pr наш_a планета_s	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
114	19	вопрос_s что_s равный_a	11	в_pr среда_s обитание_s	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
118	19	квадратичный_a функционал_s в_pr	11	ковалентный_a связь_s в_pr	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
111	19	зависеть_v от_pr выбор_s	11	тот_a случай_s когда_conj	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
117	19	теорема_s пусть_part функция_s	11	в_pr табл_s привести_partcp	2332884	1500982	11.745183582316127	18.254816417683873	7.134096673384141
101	20	λ_λ λ_λ λ_λ	12	скорость_s реакция_s от_pr	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
99	20	мочь_v быть_v записать_partcp	12	в_pr их_a стандартный_a	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
98	20	многочлен_s делиться_v на_pr	12	элемент_s в_pr их_a	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
97	20	в_pr общий_a случай_s	12	связь_s между_pr атом_s	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
96	20	на_pr доказать_v что_conj	12	элемент_s главный_a группа_s	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
95	20	б_part доказать_v что_conj	12	при_pr комнатный_a температура_s	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
94	20	число_s от_pr до_pr	12	состояние_s идеальный_a газ_s	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
93	20	что_conj при_pr любой_a	12	при_pr нормальный_a условие_s	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
100	20	можно_adv записать_v в	12	их_a стандартный_a состояние_s	2332884	1500982	12.528195821137201	19.471804178862797	7.092560233413881
84	21	при_pr переход_s от_pr	13	г_s г_s г_s	2332884	1500982	13.311208059958277	20.688791940041725	7.067762592309629
83	21	основной_a теорема_s арифметика_s	13	энтальпия_s диссоциация_s связь_s	2332884	1500982	13.311208059958277	20.688791940041725	7.067762592309629
67	23	найтись_v такой_a что_conj	15	кдж_s моль_s кдж_s	2332884	1500982	14.877232537600428	23.122767462399572	7.057434639027061
68	23	проходить_partcp через_pr точка_s	15	моль_s кдж_s моль_s	2332884	1500982	14.877232537600428	23.122767462399572	7.057434639027061
73	22	см также_adv доказать_v	14	в_pr реакционный_a смесь_s	2332884	1500982	14.094220298779351	21.90577970122065	7.056807308278259
74	22	представимый_a в виде_pr	14	в_pr световой_a микроскоп_s	2332884	1500982	14.094220298779351	21.90577970122065	7.056807308278259
141	17	ортонормированный_a базис_s в_pr	10	один_a из_pr наиболее_adv	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
140	17	равный_a нуль_s одновременно_adv	10	год_s тому назад_pr	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
139	17	если_conj ряд_s сходиться_v	10	примерно_adv млн год_s	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
138	17	система_s координата_s в_pr	10	к_pr он относиться_v	2332884	1500982	10.570665224084514	16.429334775915486	6.224773778492548
