	bigram	freq	llr	pmi	t-score	xi square	z-score
573	взаимно_adv однозначный_a	21	369.99919060617685	10.04530654264164	4.573142129298402	1.794913553574598e+33	100.79328147455088
436	при_pr условие_s	25	174.77265132963657	3.0189565592213645	3.658229193555735	1.7765392580909003e+33	7.0618216351625085
539	точка_s тогда_adv	22	110.38682109862566	1.596161653846117	1.3158055295762814	1.7706562962979136e+33	1.5512634784782913
559	число_s если_conj	21	57.38341671973467	-0.14103386453047745	-6.409251321649862	1.7601660449680254e+33	-4.138349661910724
775	существовать_v предел_s	17	152.32158218324184	4.43611326297636	3.7087949552775674	1.745517239087338e+33	11.699895820527129
709	бесконечно_adv много_adv	18	266.553785122931	8.407876622026349	4.215468912502725	1.7318481381689958e+33	52.6750571397017
205	по_pr модуль_s	40	423.4392117485404	5.424247456237497	6.004169253070691	1.7310764596509056e+33	26.67663909176728
914	если_conj уравнение_s	15	35.71492002159357	-0.4236074978912875	-7.426771123093953	1.7231229851655462e+33	-4.347988146525943
966	ж_part ж_part	15	197.30417922139168	7.344126391324914	3.821133424150442	1.712271994286191e+33	33.02485832779347
959	иметь_v матрица_s	15	66.42610168457031	1.1660217746168553	0.11856283500377952	1.712156507578165e+33	0.12042036332126148
566	число_s из_pr	21	59.834853142499924	-0.04812006654440569	-5.7236593992581835	1.6747850276352302e+33	-3.816617025629399
390	что_conj он	27	128.7259329110384	1.4051514991615492	0.9284517979696358	1.655463228777951e+33	1.024479634150588
742	область_s сходимость_s	18	212.1542123556137	6.396802575867921	4.133116102449112	1.645698337359198e+33	25.724084287374254
939	воспользоваться_v результат_s	15	191.73369439691305	7.093141900227523	3.8112809588098613	1.6189736897646223e+33	30.195539661935218
425	к_pr другой_a	26	233.19020824879408	4.409106848925999	4.576962334385183	1.607167834392413e+33	14.304136283173213
695	что_conj на_pr	18	37.32095420360565	-0.6809479118185109	-10.552762807687975	1.6065425671894982e+33	-5.650942603322735
306	матрица_s квадратичный_a	32	288.0271625071764	4.403115962104325	5.075273765872559	1.6028313543499055e+33	15.828583660472674
459	функция_s являться_v	24	149.07307106256485	2.46081325063928	2.9633071965341564	1.6011473135075064e+33	4.714260421085658
289	функция_s переменный_a	33	272.01922169327736	3.8735138189315865	4.89201642117594	1.5983348611981057e+33	12.698646194505267
442	операция_s сложение_s	25	362.4004616737366	8.098321347941807	4.960314013696343	1.5862021654327157e+33	55.67696885524524
351	число_s вид_s	29	147.64826338738203	1.639240652408897	1.6246854711915901	1.5848732865197054e+33	1.9442279982938062
864	если_conj точка_s	16	49.02494487911463	0.12395839202469124	-3.984534673611007	1.567065384733767e+33	-2.820218781545315
