	freq	ngram	freq_ref	ngram_ref	ref size	math size	e1	e2	g2
87	67	по_pr теорема_s	56	который_a в_pr	2332884	1500982	48.15525268749612	74.84474731250388	11.767966153814044
88	67	криволинейный_a интеграл_s	56	с_pr другой_a	2332884	1500982	48.15525268749612	74.84474731250388	11.767966153814044
89	65	общий_a решение_s	55	только_part в_pr	2332884	1500982	46.98073432926451	73.01926567073549	11.03154103072566
90	65	точка_s в_pr	55	изменение_s в_pr	2332884	1500982	46.98073432926451	73.01926567073549	11.03154103072566
91	65	решение_s уравнение_s	55	в_pr основной_a	2332884	1500982	46.98073432926451	73.01926567073549	11.03154103072566
92	65	переход_s от_pr	55	в_pr некоторый_a	2332884	1500982	46.98073432926451	73.01926567073549	11.03154103072566
93	65	вектор_s в_pr	55	периодический_a система_s	2332884	1500982	46.98073432926451	73.01926567073549	11.03154103072566
94	64	в качестве_pr	54	в_pr организм_s	2332884	1500982	46.197722090443435	71.80227790955657	10.949259049194673
95	64	означать_v что_conj	54	другой_a вид_s	2332884	1500982	46.197722090443435	71.80227790955657	10.949259049194673
97	63	корень_s уравнение_s	54	химический_a связь_s	2332884	1500982	45.80621597103289	71.1937840289671	10.304562269721394
96	63	число_s доказать_v	54	способный_a к_pr	2332884	1500982	45.80621597103289	71.1937840289671	10.304562269721394
111	58	квадратичный_a форма_s	49	растение_s животное_s	2332884	1500982	41.89115477692752	65.10884522307248	9.887192759998918
112	58	линия_s второй_a	49	способность_s к_pr	2332884	1500982	41.89115477692752	65.10884522307248	9.887192759998918
98	62	следовать_v из_pr	54	изменение_s энтальпия_s	2332884	1500982	45.414709851622355	70.58529014837764	9.674518629987585
99	61	в_pr каждый_a	53	клетка_s в_pr	2332884	1500982	44.63169761280128	69.36830238719872	9.587765111554955
102	60	по_pr определение_s	52	нуклеиновый_a кислота_s	2332884	1500982	43.84868537398021	68.1513146260198	9.501358996550213
103	60	о_pr а_s	52	простой_a вещество_s	2332884	1500982	43.84868537398021	68.1513146260198	9.501358996550213
104	59	для_pr каждый_a	51	он быть_v	2332884	1500982	43.06567313515913	66.93432686484087	9.415319299655284
105	59	начало_s координата_s	51	связь_s с_pr	2332884	1500982	43.06567313515913	66.93432686484087	9.415319299655284
106	59	характеристический_a уравнение_s	51	отличаться_v от_pr	2332884	1500982	43.06567313515913	66.93432686484087	9.415319299655284
107	59	координатный_a представление_s	51	как_conj в_pr	2332884	1500982	43.06567313515913	66.93432686484087	9.415319299655284
108	58	говорить_v что_conj	50	у_pr человек_s	2332884	1500982	42.28266089633806	65.71733910366194	9.329666450298372
109	58	уравнение_s в_pr	50	роль_s в_pr	2332884	1500982	42.28266089633806	65.71733910366194	9.329666450298372
110	58	очевидно_adv что_conj	50	друг_s с_pr	2332884	1500982	42.28266089633806	65.71733910366194	9.329666450298372
114	57	совпадать_v с_pr	49	среди_pr он	2332884	1500982	41.49964865751698	64.50035134248301	9.244422426852331
116	57	при_pr какой_a	49	новый_a вид_s	2332884	1500982	41.49964865751698	64.50035134248301	9.244422426852331
115	57	доказать_v равенство_s	49	количество_s вещество_s	2332884	1500982	41.49964865751698	64.50035134248301	9.244422426852331
113	57	если_conj он	49	вещество_s энергия_s	2332884	1500982	41.49964865751698	64.50035134248301	9.244422426852331
118	56	квадратный_a матрица_s	48	в_pr разный_a	2332884	1500982	40.716636418695906	63.283363581304094	9.159610906418997
120	55	плоскость_s в_pr	47	наш_a время_s	2332884	1500982	39.93362417987483	62.06637582012517	9.075257432356121
121	55	оператор_s в_pr	47	от_pr до_pr	2332884	1500982	39.93362417987483	62.06637582012517	9.075257432356121
100	60	у_pr у_pr	53	млн год_s	2332884	1500982	44.240191493390746	68.75980850660926	8.970592088028695
101	60	на_pr число_s	53	один_a тот_a	2332884	1500982	44.240191493390746	68.75980850660926	8.970592088028695
117	56	частный_a решение_s	49	центральный_a атом_s	2332884	1500982	41.10814253810644	63.89185746189356	8.617873408738273
119	55	уравнение_s прямой_a	48	он в_pr	2332884	1500982	40.32513029928537	62.67486970071463	8.530499099764281
122	54	б_part в_pr	47	энергия_s в_pr	2332884	1500982	39.5421180604643	61.4578819395357	8.443485327792473
123	54	с_pr другой_a	47	образ_s жизнь_s	2332884	1500982	39.5421180604643	61.4578819395357	8.443485327792473
124	53	с помощью_pr	46	тот_a иной_a	2332884	1500982	38.75910582164322	60.24089417835678	8.356854014612459
125	52	при_pr любой_a	46	молекула_s вода_s	2332884	1500982	38.36759970223268	59.63240029776732	7.739854151782335
