	freq	pmi	quadgram	t-score	z-score
623	4	26.115231527829756	нризнак_s сравнение_s согласно_pr неравенство_s	3.063396945281744e-05	3.063396945281744e-05
652	4	26.11462038915933	теорема_s больцано_s вейерштрасса_s для_pr	3.063396945258164e-05	3.063396945258164e-05
602	4	26.104008834642407	в то время как_conj	3.063396944847135e-05	3.063396944847135e-05
392	5	26.07928055421619	к_pr з_s т_s о_s	3.82924617984687e-05	3.82924617984687e-05
365	5	26.069038071218138	радиус_s сходимость_s степенный_a ряд_s	3.829246179338721e-05	3.829246179338721e-05
848	3	26.020689337183395	арифметический_a прогрессия_s с_pr разность_s	2.29754770613444e-05	2.29754770613444e-05
1	70	26.019554604106112	а_s а_s т_s о_s	0.0005360944647565205	0.0005360944647565205
537	4	26.005913223927788	площадь_s параллелограмм_s построить_partcp на_pr	3.063396940900861e-05	3.063396940900861e-05
757	4	25.91736853102975	положительный_a определенность_s квадратичный_a функционал_s	3.0633969371009186e-05	3.0633969371009186e-05
843	3	25.783009276684723	площадь_s общий_a часть_s кото_s	2.297547698152833e-05	2.297547698152833e-05
944	3	25.751707780917393	вписать_partcp в_pr единичный_a окружность_s	2.2975476970002665e-05	2.2975476970002665e-05
834	3	25.686391433526044	во_pr весь_a зоопарк_s где_adv	2.2975476945131636e-05	2.2975476945131636e-05
790	3	25.628443633973887	комплексный_a число_s комплексно_adv сопряженный_a	2.2975476922103754e-05	2.2975476922103754e-05
394	5	25.605585444798155	формула_s тейлор_s с_pr остаточный_a	3.829246152127114e-05	3.829246152127114e-05
607	4	25.535933238345457	наити_s наибольший_a наименьший_a значение_s	3.063396917782555e-05	3.063396917782555e-05
882	3	25.532813267356666	как_adv показать_partcp на_pr рисунок_s	2.297547688201902e-05	2.297547688201902e-05
776	4	25.515586714584753	при_pr смена_s базис_s изменение_s	3.0633969166015456e-05	3.0633969166015456e-05
499	4	25.492248662124496	неравенство_s между_pr среда_s о	3.063396915226224e-05	3.063396915226224e-05
642	4	25.43667266304292	виде_pr бесконечный_a десятичный_a дробь_s	3.063396911860128e-05	3.063396911860128e-05
348	5	25.40281705368387	непрерывность_s функция_s ее_a разрыв_s	3.8292461371813894e-05	3.8292461371813894e-05
140	8	25.392441257605995	криволинейный_a интеграл_s от_pr векторфункция_s	6.126793818173837e-05	6.126793818173837e-05
800	3	25.325107219037353	справедливость_s для_pr утверждение_s верно_adv	2.2975476785239266e-05	2.2975476785239266e-05
54	13	25.303115741195295	школа_s в_pr математика_s арифметика_s	9.956039935466227e-05	9.956039935466227e-05
633	4	25.303042681416184	правило_s дифференцирование_s сложный_a функция_s	3.0633969032154286e-05	3.0633969032154286e-05
902	3	25.259894037880265	система_s счисление_s рациональный_a иррациональный_a	2.2975476751865043e-05	2.2975476751865043e-05
673	4	25.25599016022561	х_s о_pr о_s т_s	3.0633968999758515e-05	3.0633968999758515e-05
248	6	25.241690978757905	а_s т_s о_s провести_v	4.595095348455349e-05	4.595095348455349e-05
833	3	25.239847689976404	по_pr формула_s бином_s ньютон_s	2.2975476741299046e-05	2.2975476741299046e-05
891	3	25.222131624912823	сравнение_s теорема_s ферма_s эйлер_s	2.29754767318383e-05	2.29754767318383e-05
893	3	25.220906126322944	вычет_s по_pr модуль_s соответственно_adv	2.2975476731179553e-05	2.2975476731179553e-05
107	9	25.178400081522327	принимать_v во_pr внимание_s что_conj	6.892643012394393e-05	6.892643012394393e-05
576	4	25.13378101404156	часть_s неравенство_s умножить_v разделить_v	3.0633968910511e-05	3.0633968910511e-05
475	4	25.12537437256915	что_conj хотя_part бы_part один_a	3.063396890408937e-05	3.063396890408937e-05
509	4	25.12078965020512	воспользоваться_v метод_s математический_a индукция_s	3.063396890057141e-05	3.063396890057141e-05
841	3	25.105448897478706	делиться_v ни_conj на_pr ни_part	2.2975476666538867e-05	2.2975476666538867e-05
65	12	25.042958877431495	зависеть_v от_pr выбор_s базис_s	9.190190651733685e-05	9.190190651733685e-05
699	4	25.03674704849823	интеграл_s зависеть_v от_pr путь_s	3.063396883406274e-05	3.063396883406274e-05
253	6	25.02243469381148	о_pr к_pr з_s т_s	4.5950953233517896e-05	4.5950953233517896e-05
5	35	25.01955460410611	о_s а_s а_s т_s	0.000268047227174766	0.000268047227174766
427	5	25.012468510209768	функционал_s зависеть_v от_pr выбор_s	3.8292461017646325e-05	3.8292461017646325e-05
748	4	24.96380594792816	о_pr важность_s собственный_a вектор_s	3.063396877311406e-05	3.063396877311406e-05
474	4	24.92163278235971	ошибка_s в_pr один_a сутки_s	3.063396873644296e-05	3.063396873644296e-05
89	10	24.901334338618717	введение_s в_pr математический_a анализ_s	7.65849217960173e-05	7.65849217960173e-05
571	4	24.89469223954143	подстановка_s в_pr чем_conj сущность_s	3.0633968712449804e-05	3.0633968712449804e-05
505	4	24.861629484061602	лошадь_s с_pr номер_s от_pr	3.0633968682385244e-05	3.0633968682385244e-05
761	4	24.86142049890891	соответственно_adv к_pr канонический_a диагональный_a	3.0633968682193015e-05	3.0633968682193015e-05
754	4	24.860465416764722	билинейный_a функционал_s зависеть_v от_pr	3.0633968681314134e-05	3.0633968681314134e-05
766	4	24.85451858650117	задавать_partcp в_pr некоторый_a ортонормиро_s	3.063396867582866e-05	3.063396867582866e-05
