c-value	ngram	nc-value
53.7	число_s называться_v	42.978266978922726
53.36363636363636	следовать_v из_pr	42.731970761478955
53.4	виде_pr <x>	42.72
52.25	в_pr случай_s	41.82779078844653
51.375	говорить_v что_conj	41.10249804839969
51.3	доказать_v равенство_s	41.05327088212334
50.666666666666664	<x> как_conj	40.53333333333333
50.5	<x> м	40.400000000000006
50.0	<x> неравенство_s	40.0
49.40625	с помощью_pr	39.56450039032007
49.111111111111114	б_part в_pr	39.30762425188655
48.857142857142854	во_pr <x>	39.08571428571429
48.44444444444444	<x> пусть_conj	38.75555555555556
48.25	вектор_s <x>	38.6
48.23076923076923	один_a <x>	38.58461538461539
48.09090909090909	совпадать_v с_pr	38.526279185295586
48.0	у_pr у_pr	38.41217798594848
47.666666666666664	<x> интеграл_s	38.13333333333333
47.333333333333336	функция_s <x>	37.86666666666667
47.0	<x> многочлен_s	37.6
47.0	<x> б_part	37.6
46.875	по_pr формула_s	37.53106947697112
46.333333333333336	доказать_v <x>	37.06666666666667
46.0	на_pr число_s	36.829976580796256
46.0	<x> он	36.800000000000004
45.8	<x> см	36.64
45.166666666666664	называть_v <x>	36.13333333333333
45.07692307692308	доказать_partcp <x>	36.06153846153847
45.0	за_pr <x>	36.0
45.0	<x> пример_s	36.0
45.0	<x> переменный_a	36.0
45.0	<x> получить_v	36.0
44.333333333333336	<x> поэтому_adv	35.46666666666667
44.333333333333336	<x> вопрос_s	35.46666666666667
44.0	каждый_a <x>	35.2
43.72727272727273	который_a <x>	34.981818181818184
43.666666666666664	из_pr задача_s	34.95534738485558
43.333333333333336	приходить_v к_pr	34.69430132708822
42.94117647058823	<x> прил_s	34.35294117647059
42.875	между_pr <x>	34.300000000000004
42.6	задать_partcp <x>	34.080000000000005
42.096774193548384	от_pr до_pr	33.67741935483871
42.0	предположить_v что_conj	33.60109289617486
42.0	очевидно_adv что_conj	33.6
42.0	<x> функционал_s	33.6
41.666666666666664	уравнение_s иметь_v	33.36330991412959
41.61538461538461	решить_v уравнение_s	33.31073079925539
41.26315789473684	определение_s пусть_part	33.0247339660627
41.25	задача_s <x>	33.0
40.8	ответ_s <x>	32.64
40.22222222222222	система_s <x>	32.17777777777778
40.0	зависеть_v от_pr	32.02217017954723
40.0	только_part <x>	32.0
40.0	воспользоваться_v <x>	32.0
39.875	известно_adv что_conj	31.900000000000002
39.75	по_pr теорема_s	31.820140515222484
39.714285714285715	равный_a <x>	31.771428571428572
39.5	после_pr <x>	31.6
39.4	хотя бы_adv	31.551693989071037
39.375	из_pr который_a	31.533411397345823
39.25	<x> относительно_pr	31.400000000000002
39.22222222222222	проходить_partcp через_pr	31.399011189175127
39.142857142857146	например_adv <x>	31.314285714285717
39.0	какой_a <x>	31.200000000000003
39.0	<x> следовательно_adv	31.200000000000003
39.0	вопрос_s <x>	31.200000000000003
39.0	<x> е_s	31.200000000000003
39.0	б_part <x>	31.200000000000003
38.55882352941177	пример_s решить_v	30.85158653625385
38.333333333333336	состоять_v из_pr	30.700858704137396
38.333333333333336	использовать_v <x>	30.66666666666667
38.22222222222222	относительно_pr <x>	30.57777777777778
38.15384615384615	теорема_s если_conj	30.536347805200265
38.0	согласно_pr <x>	30.400000000000002
37.86363636363636	уравнение_s в_pr	30.321041799730324
37.4	линейно_adv независимый_a	29.96824355971897
37.4	координата_s <x>	29.92
37.333333333333336	прямой_a <x>	29.86666666666667
37.111111111111114	также_adv <x>	29.688888888888894
37.0	<x> произведение_s	29.6
36.483870967741936	что_conj из_pr	29.20973533781572
36.04761904761905	функция_s определить_partcp	28.856206088992977
35.92307692307692	вид_s <x>	28.738461538461536
35.25	теорема_s о_pr	28.223731459797037
35.0	<x> столбец_s	28.0
34.958333333333336	если_conj функция_s	27.984621389539424
34.83333333333333	<x> то	27.866666666666664
34.7	для_pr каждый_a	27.80652615144419
34.5	<x> такой_a	27.6
34.46666666666667	задача_s пусть_part	27.573333333333338
34.4	<x> сумма_s	27.52
34.27777777777778	при_pr любой_a	27.450637522768673
34.2	<x> между_pr	27.360000000000003
34.142857142857146	угол_s между_pr	27.342232630757223
